word,meaning,pos,"example","example_ko","example2","example2_ko","collocation","collocation_ko",level,synonym
roam,돌아다니다,v,"Employees are free to roam between departments during the open house.","직원들은 오픈하우스 동안 부서 간을 자유롭게 돌아다닐 수 있다.","","","roam freely","자유롭게 돌아다니다",3,
peer,동료/또래,n,"She felt pressure to fit in with her peers.","그녀는 또래들과 어울려야 한다는 압박감을 느꼈다.","Teachers often ask students to review each other's work as peers.","교사들은 종종 학생들에게 또래끼리 서로의 과제를 검토하게 한다.","peer pressure","또래 압력(동조 압박)",1,colleague
waist,허리,n,"He wrapped a belt around his waist.","그는 허리에 벨트를 둘렀다.","She measured her waist before buying the dress.","그녀는 드레스를 사기 전에 허리 치수를 쟀다.","slim waist","가느다란 허리",1,
extensive,광범위한/폭넓은,adj,"The company conducted extensive research before launching the product.","그 회사는 제품을 출시하기 전에 광범위한 조사를 실시했다.","The city carried out an extensive renovation of the old library.","그 도시는 오래된 도서관에 대해 광범위한 보수 공사를 진행했다.","extensive research","광범위한 연구",2,broad
circadian,일주기의/24시간 주기의,adj,"Jet lag disrupts your circadian rhythm.","시차 적응은 생체 리듬(일주기 리듬)을 흐트러뜨린다.","","","circadian rhythm","24시간 주기 리듬",4,
fraud,사기,n,"He was arrested for credit card fraud.","그는 신용카드 사기 혐의로 체포되었다.","The company was investigated for tax fraud.","그 회사는 세금 사기 혐의로 조사를 받았다.","credit card fraud","신용카드 사기",2,deception
reader,독자,n,"The novel appeals to readers of all ages.","그 소설은 모든 연령대의 독자에게 인기가 있다.","The magazine relies on subscriptions from loyal readers.","그 잡지는 충성스러운 독자들의 구독에 의존한다.","avid reader","열렬한 독자",1,
for instance,예를 들어,phr,"Many fruits, for instance apples and oranges, are rich in vitamin C.","사과와 오렌지 같은 많은 과일들은 비타민 C가 풍부하다.","Some hobbies, for instance painting or gardening, help reduce stress.","그림 그리기나 정원 가꾸기 같은 몇몇 취미는 스트레스를 줄이는 데 도움이 된다.","","",2,for example
pesticide,살충제/농약,n,"Farmers sprayed pesticide on the crops.","농부들은 작물에 살충제를 뿌렸다.","","","spray pesticide","살충제를 뿌리다",3,
inheritance,유전/상속,n,"Eye color is determined by genetic inheritance.","눈동자 색은 유전에 의해 결정된다.","","","genetic inheritance","유전",3,
chromosome,염색체,n,"Humans have 23 pairs of chromosomes.","인간은 23쌍의 염색체를 가지고 있다.","","","X chromosome","X염색체",4,
inborn,선천적인,adj,"Some talents seem to be inborn rather than learned.","어떤 재능은 후천적으로 배운 것이라기보다 선천적인 것처럼 보인다.","","","inborn talent","타고난 재능",3,
metabolic,신진대사의/대사의,adj,"Exercise can boost your metabolic rate.","운동은 신진대사율을 높일 수 있다.","","","metabolic rate","신진대사율",4,
supersede,대체하다/대신하다,v,"The new policy supersedes the previous one.","새 정책이 이전 정책을 대체한다.","","","supersede the old model","이전 모델을 대체하다",3,
accurately,정확하게,adv,"The sensor measures temperature accurately.","그 센서는 온도를 정확하게 측정한다.","The translator rendered the poem's meaning accurately.","그 번역가는 시의 의미를 정확하게 옮겼다.","accurately describe","정확하게 묘사하다",2,precisely
manageable,관리 가능한/감당할 수 있는,adj,"She broke the project into manageable tasks.","그녀는 그 프로젝트를 감당할 수 있는 작업들로 나눴다.","With her new schedule, the workload finally felt manageable.","새 일정 덕분에 업무량이 마침내 감당할 수 있게 느껴졌다.","manageable workload","감당할 수 있는 업무량",2,controllable
homosexual,동성애자,n,"The law protects homosexual couples from discrimination.","그 법은 동성애자 커플을 차별로부터 보호한다.","Public opinion about homosexual marriage has shifted over the past decade.","동성 결혼에 대한 여론은 지난 10년간 변화해 왔다.","","",2,
funeral,장례식,n,"Hundreds of people attended the funeral.","수백 명의 사람들이 장례식에 참석했다.","He flew home immediately to attend his grandmother's funeral.","그는 할머니의 장례식에 참석하기 위해 즉시 귀국했다.","funeral home","장례식장",1,
policy,정책,n,"The company changed its return policy.","그 회사는 반품 정책을 변경했다.","","","company policy","회사 정책",3,
marginalized,소외된,adj,"The program supports marginalized communities.","그 프로그램은 소외된 지역사회를 지원한다.","","","marginalized communities","소외된 공동체",3,
intentional,의도적인,adj,"I don't think that mistake was intentional.","나는 그 실수가 의도적이었다고 생각하지 않는다.","The delay in the shipment was not intentional.","그 배송 지연은 의도적인 것이 아니었다.","intentional mistake","의도적인 실수",1,deliberate
sculptor,조각가,n,"The sculptor carved the statue from a single block of marble.","그 조각가는 하나의 대리석 덩어리로 조각상을 깎아 만들었다.","The city hired a famous sculptor to design the new fountain.","그 시는 새 분수를 설계하기 위해 유명한 조각가를 고용했다.","famous sculptor","유명한 조각가",1,
household,가정/가구,n,"Every household received a survey in the mail.","모든 가정이 우편으로 설문지를 받았다.","Rising prices have put a strain on many households.","물가 상승은 많은 가정에 부담을 주었다.","household name","누구나 아는 이름(유명한 이름/브랜드)",1,
burden,부담/짐,n,"Taking care of him became a heavy burden on the family.","그를 돌보는 일은 가족에게 큰 부담이 되었다.","The new tax became a heavy burden for small business owners.","그 새 세금은 소규모 사업주들에게 큰 부담이 되었다.","burden of proof","입증 책임",1,load
infrastructure,사회기반시설/기반시설,n,"The government invested in roads and infrastructure.","정부는 도로와 사회기반시설에 투자했다.","","","critical infrastructure","핵심 기반시설",3,
assembly,조립,n,"Workers on the assembly line put the parts together.","조립 라인의 작업자들이 부품을 조립했다.","The furniture requires simple assembly at home.","그 가구는 집에서 간단한 조립이 필요하다.","assembly line","조립 라인",2,
manufacturing,제조/제조업,n,"The factory specializes in manufacturing car parts.","그 공장은 자동차 부품 제조를 전문으로 한다.","The region has a long history of textile manufacturing.","그 지역은 섬유 제조의 오랜 역사를 가지고 있다.","manufacturing plant","제조 공장",2,production
curb,억제하다/제한하다,v,"The government introduced measures to curb inflation.","정부는 물가 상승을 억제하기 위한 조치를 도입했다.","New regulations aim to curb pollution from factories.","새 규제는 공장에서 나오는 오염을 억제하는 것을 목표로 한다.","curb your enthusiasm","흥분을 가라앉히다(열의를 억제하다)",2,restrict
emerge,나타나다/생겨나다,v,"A new problem emerged during the meeting.","회의 중에 새로운 문제가 생겨났다.","Bright stars slowly emerged in the sky as the clouds cleared.","구름이 걷히자 하늘에 밝은 별들이 서서히 나타났다.","emerge victorious","승리자로 떠오르다(승리하다)",1,appear
imagine,상상하다,v,"Try to imagine life without a phone for a week.","일주일 동안 휴대폰 없이 사는 삶을 상상해 보라.","I can't imagine living without my phone for a day.","나는 하루라도 휴대폰 없이 사는 것을 상상할 수 없다.","imagine the possibilities","가능성을 상상하다",1,envision
routine,일상,n,"Coffee is part of his morning routine.","커피는 그의 아침 일상의 일부다.","Exercising every morning became part of her daily routine.","매일 아침 운동하는 것은 그녀의 일상의 일부가 되었다.","daily routine","일상(매일의 일과)",1,habit
ordinary,평범한,adj,"She led a fairly ordinary life before the fame.","그녀는 유명해지기 전에는 상당히 평범한 삶을 살았다.","There was nothing ordinary about the way he solved the puzzle.","그가 그 퍼즐을 푼 방식에는 평범한 구석이 전혀 없었다.","ordinary people","평범한 사람들",1,normal
shame,수치심,n,"He felt a deep shame after breaking the vase.","그는 꽃병을 깬 후 깊은 수치심을 느꼈다.","She hid her face in shame after the mistake.","그녀는 그 실수 후 수치심에 얼굴을 가렸다.","shame on you","부끄러운 줄 알아라(창피한 줄 알아)",1,embarrassment
automobile,자동차,n,"The automobile industry is based mostly in that city.","자동차 산업은 대부분 그 도시에 기반을 두고 있다.","The museum displays automobiles from the early twentieth century.","그 박물관은 20세기 초의 자동차들을 전시하고 있다.","automobile manufacturer","자동차 제조업체",1,car
satellite,위성,n,"The satellite sends weather data back to Earth.","그 위성은 기상 데이터를 지구로 전송한다.","Astronomers discovered a small moon orbiting as a satellite of the planet.","천문학자들은 그 행성의 위성으로 도는 작은 위성을 발견했다.","satellite dish","위성 안테나",1,
guarantee,보장하다,v,"The store guarantees a full refund within 30 days.","그 매장은 30일 이내 전액 환불을 보장한다.","The seller guarantees the watch will last a lifetime.","그 판매자는 그 시계가 평생 갈 것을 보장한다.","money-back guarantee","환불 보장",1,ensure
passionate,열정적인,adj,"She is passionate about protecting wildlife.","그녀는 야생동물 보호에 열정적이다.","He has always been passionate about cooking.","그는 항상 요리에 열정적이었다.","passionate about","~에 대해 열정적인",1,enthusiastic
outstanding,뛰어난,adj,"His outstanding performance earned him a promotion.","그의 뛰어난 성과는 승진으로 이어졌다.","She received an award for her outstanding contribution to the team.","그녀는 팀에 대한 뛰어난 공헌으로 상을 받았다.","outstanding performance","뛰어난 성과",1,excellent
remote,외진/먼,adj,"They live in a remote village far from the city.","그들은 도시에서 멀리 떨어진 외진 마을에 산다.","The research station is located in a remote part of Antarctica.","그 연구 기지는 남극의 외진 지역에 위치해 있다.","remote control","리모컨",1,distant
instant,즉각적인,adj,"The medicine brought instant relief from the pain.","그 약은 즉각적인 통증 완화 효과를 가져다주었다.","He felt an instant connection with the new coworker.","그는 새 동료와 즉각적인 유대감을 느꼈다.","instant coffee","인스턴트 커피",1,immediate
overcome,극복하다,v,"It took years to overcome her fear of water.","그녀가 물에 대한 두려움을 극복하는 데 수년이 걸렸다.","The team overcame a huge point deficit to win the game.","그 팀은 큰 점수 차를 극복하고 경기에서 이겼다.","overcome obstacles","역경을 극복하다",1,conquer
shift,옮기다/바뀌다,v,"Public opinion began to shift after the scandal.","그 스캔들 이후 여론이 바뀌기 시작했다.","The company had to shift its strategy after losing its biggest client.","그 회사는 최대 고객을 잃은 후 전략을 바꿔야 했다.","shift gears","기어를 바꾸다(방향을 전환하다)",1,change
suspect,의심하다,v,"Police suspect the fire was started on purpose.","경찰은 그 화재가 고의로 발생했다고 의심하고 있다.","I suspect he already knows about the surprise party.","나는 그가 그 깜짝 파티에 대해 이미 알고 있다고 의심한다.","suspect foul play","부정행위를 의심하다",1,suppose
novice,초보자,n,"As a novice, he made several beginner mistakes.","초보자로서 그는 여러 가지 초보적인 실수를 저질렀다.","The course is designed for novices with no prior experience.","그 강좌는 사전 경험이 없는 초보자를 위해 설계되었다.","complete novice","완전 초보자",1,beginner
combat,전투,n,"The soldiers were trained for combat.","병사들은 전투를 위해 훈련받았다.","The film depicts intense combat scenes from the war.","그 영화는 그 전쟁의 격렬한 전투 장면을 묘사한다.","combat zone","전투 지역",1,battle
wander,돌아다니다,v,"The children wandered around the market for hours.","아이들은 몇 시간 동안 시장을 돌아다녔다.","His mind tends to wander during long lectures.","그의 정신은 긴 강의 중에 딴 데로 돌아다니는 경향이 있다.","wander aimlessly","정처 없이 돌아다니다",1,roam
reasonable,합리적인,adj,"The price seemed reasonable for such a large house.","그렇게 큰 집치고는 가격이 합리적으로 보였다.","He made a reasonable request to extend the deadline by two days.","그는 마감을 이틀 연장해 달라는 합리적인 요청을 했다.","reasonable doubt","합리적 의심",1,sensible
cope,대처하다,v,"She struggled to cope with the sudden loss.","그녀는 갑작스러운 상실에 대처하느라 힘들어했다.","Meditation helps many people cope with anxiety.","명상은 많은 사람들이 불안에 대처하는 데 도움을 준다.","cope with stress","스트레스에 대처하다",1,handle
abuse,남용/학대,n,"The report exposed years of animal abuse at the farm.","그 보고서는 그 농장에서 수년간 자행된 동물 학대를 폭로했다.","The senator criticized the abuse of power within the agency.","그 상원의원은 그 기관 내의 권력 남용을 비판했다.","substance abuse","약물 남용",1,mistreatment
withstand,견뎌내다,v,"The bridge was built to withstand strong earthquakes.","그 다리는 강한 지진을 견뎌내도록 지어졌다.","The material is designed to withstand extreme temperatures.","그 소재는 극한의 온도를 견뎌내도록 설계되었다.","withstand pressure","압박을 견뎌내다",1,endure
vital,필수적인,adj,"Sleep is vital for good health.","수면은 건강에 필수적이다.","Clean water is vital for public health.","깨끗한 물은 공중 보건에 필수적이다.","vital signs","활력 징후(생체 신호)",1,essential
eligible,자격이 있는,adj,"Only students over eighteen are eligible to vote.","18세 이상의 학생만 투표할 자격이 있다.","Employees are eligible for benefits after six months.","직원들은 6개월 후 복지 혜택을 받을 자격이 있다.","eligible voter","투표 자격이 있는 유권자",1,qualified
restore,회복시키다,v,"Workers spent months restoring the old castle.","인부들은 그 오래된 성을 복원하는 데 몇 달을 보냈다.","The technician restored the files from a backup.","그 기술자는 백업본에서 파일을 복구했다.","restore order","질서를 회복하다",1,repair
absence,결석/부재,n,"His absence from the meeting was noticed by everyone.","그가 회의에 불참한 것을 모두가 알아챘다.","The team struggled in the absence of their star player.","그 팀은 주전 선수의 부재 속에서 고전했다.","absence makes the heart grow fonder","없으면 더 그리워진다",1,lack
leisure,여가,n,"She spends her leisure time painting.","그녀는 여가 시간을 그림 그리는 데 쓴다.","He finally had some leisure to read for pleasure.","그는 마침내 즐거움을 위해 책을 읽을 여가가 생겼다.","leisure time","여가 시간",1,recreation
tragedy,비극,n,"The play ends in tragedy when the hero dies.","그 연극은 주인공이 죽으면서 비극으로 끝난다.","The earthquake was the worst tragedy the town had ever seen.","그 지진은 그 마을이 겪은 최악의 비극이었다.","tragedy strikes","비극이 닥치다",1,disaster
mutual,상호간의,adj,"They reached a decision by mutual agreement.","그들은 상호 합의를 통해 결정을 내렸다.","Their business partnership was built on mutual trust.","그들의 사업 동반자 관계는 상호 신뢰를 바탕으로 세워졌다.","mutual fund","뮤추얼 펀드(상호 투자 신탁)",1,reciprocal
heritage,유산,n,"The old temple is part of the town's cultural heritage.","그 오래된 사원은 그 마을의 문화유산의 일부다.","The festival celebrates the region's musical heritage.","그 축제는 그 지역의 음악적 유산을 기념한다.","cultural heritage","문화유산",1,legacy
enhance,높이다/향상시키다,v,"The new feature will enhance the user experience.","그 새 기능은 사용자 경험을 향상시킬 것이다.","Good lighting can enhance the mood of a room.","좋은 조명은 방의 분위기를 향상시킬 수 있다.","enhance the flavor","맛을 향상시키다",2,improve
hazard,위험 요소,n,"Wet floors are a common hazard in kitchens.","젖은 바닥은 주방에서 흔한 위험 요소다.","Loose cables on the floor are a tripping hazard.","바닥에 늘어진 전선은 걸려 넘어질 위험 요소이다.","occupational hazard","직업병(직업상 위험 요소)",2,danger
presidential,대통령의,adj,"The presidential election is held every four years.","대통령 선거는 4년마다 치러진다.","The two candidates faced off in a presidential debate.","두 후보는 대통령 후보 토론에서 맞붙었다.","presidential election","대통령 선거",2,
attorney,변호사,n,"She hired an attorney to handle the contract.","그녀는 계약을 처리하기 위해 변호사를 고용했다.","The attorney advised her client not to sign the document yet.","그 변호사는 의뢰인에게 아직 그 서류에 서명하지 말라고 조언했다.","attorney general","법무장관(검찰총장)",2,lawyer
cognitive,인지의,adj,"The test measures a child's cognitive development.","그 검사는 아이의 인지 발달을 측정한다.","Puzzles can help maintain cognitive function as people age.","퍼즐은 사람들이 나이가 들어도 인지 기능을 유지하는 데 도움이 될 수 있다.","cognitive dissonance","인지 부조화",2,
cooperation,협력,n,"The project succeeded through close cooperation between teams.","그 프로젝트는 팀들 간의 긴밀한 협력을 통해 성공했다.","The two nations signed an agreement to strengthen economic cooperation.","두 나라는 경제 협력을 강화하기 위한 협정을 체결했다.","international cooperation","국제 협력",2,collaboration
demonstrate,입증하다/보여주다,v,"The study demonstrates a clear link between diet and health.","그 연구는 식습관과 건강 사이의 명확한 연관성을 보여준다.","He demonstrated how the new machine works to the whole staff.","그는 전체 직원들에게 그 새 기계가 어떻게 작동하는지 보여주었다.","demonstrate a skill","기술을 보여주다",2,show
surpass,능가하다,v,"Sales this year surpassed all expectations.","올해 매출은 모든 예상을 뛰어넘었다.","Her test score surpassed everyone's expectations.","그녀의 시험 점수는 모두의 예상을 뛰어넘었다.","surpass expectations","기대를 뛰어넘다",2,exceed
considerable,상당한,adj,"Renovating the house required a considerable amount of money.","집을 리모델링하는 데는 상당한 돈이 필요했다.","The new bridge took a considerable amount of time to build.","그 새 다리를 짓는 데는 상당한 시간이 걸렸다.","considerable amount","상당한 양",2,significant
vary,달라지다,v,"Prices vary depending on the season.","가격은 계절에 따라 달라진다.","Opinions on the new policy vary widely among staff.","그 새 정책에 대한 의견은 직원들 사이에서 크게 달라진다.","vary widely","크게 다르다",2,diversify
discipline,훈육/규율,n,"The coach values discipline more than raw talent.","그 코치는 타고난 재능보다 규율을 더 중시한다.","Learning an instrument requires a lot of discipline.","악기를 배우는 것은 많은 규율(자기 절제)을 필요로 한다.","self-discipline","자기 절제(자기 훈육)",2,training
liberty,자유,n,"Citizens are guaranteed the liberty to express their opinions.","시민들은 자신의 의견을 표현할 자유를 보장받는다.","The prisoners were finally granted their liberty after the trial.","그 죄수들은 재판 후 마침내 자유를 얻었다.","civil liberties","시민의 자유(기본권)",2,freedom
prestigious,명망 있는,adj,"She was accepted into a prestigious university.","그녀는 명망 있는 대학에 합격했다.","Winning the prestigious award boosted the firm's reputation.","그 명망 있는 상을 수상한 것은 그 회사의 평판을 높였다.","prestigious award","명망 있는 상",2,esteemed
lethal,치명적인,adj,"The snake's venom can be lethal to small animals.","그 뱀의 독은 작은 동물들에게 치명적일 수 있다.","Even a small amount of the poison can be lethal.","그 독은 소량이라도 치명적일 수 있다.","lethal injection","치명적 주사(사형 집행 방법)",2,deadly
vessel,선박,n,"The fishing vessel returned to port before the storm.","그 어선은 폭풍이 오기 전에 항구로 돌아왔다.","The cargo vessel was delayed by rough seas.","그 화물선은 거친 바다 때문에 지연되었다.","cargo vessel","화물선",2,ship
commodity,상품,n,"Coffee is one of the world's most traded commodities.","커피는 세계에서 가장 많이 거래되는 상품 중 하나다.","Wheat prices rose sharply after the commodity market shifted.","원자재 시장이 바뀐 후 밀 가격이 급등했다.","commodity market","원자재 시장(상품 시장)",2,goods
magnificent,참으로 아름다운,adj,"The view from the summit was magnificent.","정상에서 바라본 경치는 참으로 아름다웠다.","The cathedral's ceiling was decorated with a magnificent mural.","그 대성당의 천장은 참으로 아름다운 벽화로 장식되어 있었다.","magnificent scenery","참으로 아름다운 경치",2,splendid
strain,부담/혹사하다,n,"The extra workload put a strain on the whole team.","추가된 업무량이 팀 전체에 부담을 주었다.","The old bridge showed signs of strain under the heavy trucks.","그 오래된 다리는 무거운 트럭들의 무게로 부담의 흔적을 보였다.","muscle strain","근육 염좌(근육 부담)",2,stress
prone,~하기 쉬운,adj,"This area is prone to flooding during the rainy season.","이 지역은 우기에 홍수가 나기 쉽다.","He is prone to catching colds every winter.","그는 매년 겨울마다 감기에 걸리기 쉽다.","accident-prone","사고를 잘 내는(사고가 잦은)",2,susceptible
yield,생산하다/항복하다,v,"The new method is expected to yield better results.","새로운 방법은 더 나은 결과를 낼 것으로 기대된다.","The negotiations finally yielded a compromise both sides could accept.","그 협상은 마침내 양측이 받아들일 수 있는 타협안을 낳았다.","yield to temptation","유혹에 굴복하다",2,produce
surge,밀려들다,v,"Demand for masks surged during the outbreak.","발병 기간 동안 마스크 수요가 급증했다.","Traffic to the website surged after the news went viral.","그 뉴스가 화제가 된 후 웹사이트 방문량이 급증했다.","surge in demand","수요가 급증하다",2,rush
prosperous,번창한,adj,"The town became prosperous after the factory opened.","그 마을은 공장이 문을 연 뒤 번창하게 되었다.","The family hoped for a prosperous new year.","그 가족은 번창하는 새해를 기원했다.","prosperous city","번창한 도시",2,thriving
invasion,침략,n,"The museum's new exhibit covers the invasion of the region.","박물관의 새 전시는 그 지역의 침략 역사를 다룬다.","Historians still debate the causes of the invasion.","역사학자들은 여전히 그 침략의 원인에 대해 논쟁한다.","invasion of privacy","사생활 침해",2,attack
conform,따르다/일치하다,v,"New buildings must conform to the city's safety codes.","새 건물은 시의 안전 규정을 따라야 한다.","She refused to conform to the office dress code.","그녀는 사무실 복장 규정에 따르기를 거부했다.","conform to expectations","기대에 부응하다",2,comply
culinary,요리의,adj,"The city is famous for its culinary traditions.","그 도시는 요리 전통으로 유명하다.","He studied at a top culinary school in Paris.","그는 파리의 최고 요리 학교에서 공부했다.","culinary arts","요리 예술(조리 기술)",2,
surveillance,감시,n,"The store uses surveillance cameras to prevent theft.","그 매장은 도난 방지를 위해 감시 카메라를 사용한다.","The neighborhood was placed under police surveillance after the break-ins.","그 동네는 도난 사건들 이후 경찰의 감시하에 놓였다.","surveillance camera","감시 카메라",2,monitoring
pension,연금,n,"He plans to live on his pension after retiring.","그는 은퇴 후 연금으로 생활할 계획이다.","Her pension covers most of her monthly expenses.","그녀의 연금은 매달 생활비 대부분을 충당한다.","pension fund","연금 기금",2,
consent,동의,n,"The doctor needs the patient's consent before surgery.","의사는 수술 전에 환자의 동의가 필요하다.","The researchers obtained consent from every participant.","연구자들은 모든 참가자로부터 동의를 얻었다.","informed consent","사전 동의(고지된 동의)",2,agreement
incur,발생시키다,v,"Late payments will incur an extra fee.","연체하면 추가 수수료가 발생한다.","Canceling the trip will incur a hefty penalty fee.","그 여행을 취소하면 상당한 위약금이 발생할 것이다.","incur costs","비용을 발생시키다",2,sustain
patriotism,애국심,n,"The song is often played at events celebrating patriotism.","그 노래는 애국심을 기리는 행사에서 자주 연주된다.","The parade was meant to inspire a sense of patriotism.","그 퍼레이드는 애국심을 불러일으키기 위한 것이었다.","sense of patriotism","애국심",2,
heroic,영웅적인,adj,"The firefighter's heroic effort saved the whole family.","소방관의 영웅적인 노력이 가족 전체를 구했다.","","","heroic effort","영웅적인 노력",3,
intact,온전한,adj,"Despite the crash, the package arrived intact.","충돌 사고에도 불구하고 그 소포는 온전한 상태로 도착했다.","","","remain intact","온전하게 남다",3,
contradict,반박하다/모순되다,v,"His story seemed to contradict what the witness said.","그의 이야기는 목격자의 진술과 모순되는 것처럼 보였다.","","","contradict oneself","자기모순되다",3,
inferior,하위의/열등한,adj,"The cheaper model felt inferior in build quality.","더 저렴한 모델은 마감 품질이 떨어지는 느낌이었다.","","","inferior quality","열등한 품질",3,
equivalent,동등한,adj,"One kilometer is roughly equivalent to 0.6 miles.","1킬로미터는 대략 0.6마일에 해당한다.","","","equivalent to","~와 동등한",3,
induce,유발하다,v,"Loud noise can induce stress in some people.","시끄러운 소음은 일부 사람들에게 스트레스를 유발할 수 있다.","","","induce labor","진통을 유도하다",3,
fragile,연약한/부서지기 쉬운,adj,"Handle the antique vase carefully, it's fragile.","그 골동품 꽃병은 깨지기 쉬우니 조심히 다루세요.","","","fragile ecosystem","취약한 생태계",3,
brutal,잔혹한,adj,"The soldiers described a brutal winter at the front.","병사들은 전선에서의 잔혹한 겨울을 묘사했다.","","","brutal honesty","냉정할 정도로 솔직함",3,
breach,위반/파기,n,"The company was fined for a serious data breach.","그 회사는 심각한 데이터 유출 사건으로 벌금을 물었다.","","","breach of contract","계약 위반",3,
evacuate,대피시키다,v,"Residents were told to evacuate before the storm hit.","주민들은 폭풍이 닥치기 전에 대피하라는 지시를 받았다.","","","evacuate the area","지역을 대피시키다",3,
plunge,급락하다,v,"Stock prices plunged after the announcement.","발표 이후 주가가 급락했다.","","","stock prices plunge","주가가 급락하다",3,
dire,지독한/심각한,adj,"The refugees faced dire conditions in the camp.","난민들은 수용소에서 심각한 환경에 직면했다.","","","dire consequences","심각한 결과",3,
initiate,착수시키다,v,"The city plans to initiate the project next spring.","그 도시는 내년 봄에 그 프로젝트에 착수할 계획이다.","","","initiate legal proceedings","법적 절차를 개시하다",3,
arid,매우 건조한,adj,"Few plants survive in the arid desert climate.","그 건조한 사막 기후에서는 살아남는 식물이 거의 없다.","","","arid climate","건조한 기후",3,
irrigation,관개,n,"Farmers rely on irrigation during the dry season.","농부들은 건기 동안 관개에 의존한다.","","","irrigation canal","관개 수로",3,
unravel,풀다,v,"Investigators slowly unraveled the mystery.","수사관들은 서서히 그 수수께끼를 풀어나갔다.","","","unravel a mystery","미스터리를 풀다",3,
thesis,학위 논문,n,"She is finishing her thesis on climate policy.","그녀는 기후 정책에 관한 학위 논문을 마무리하고 있다.","","","write a thesis","논문을 쓰다",3,
elevated,높은,adj,"The patient's temperature was slightly elevated.","그 환자의 체온이 약간 높았다.","","","elevated risk","높아진 위험",3,
vicinity,부근,n,"There are several restaurants in the vicinity of the hotel.","그 호텔 부근에는 여러 식당이 있다.","","","in the vicinity of","~근처에",3,
customary,관례적인,adj,"It is customary to tip the driver in this country.","이 나라에서는 운전기사에게 팁을 주는 것이 관례다.","","","customary practice","관례적인 관행",3,
rectify,바로잡다,v,"The company promised to rectify the billing error.","그 회사는 청구 오류를 바로잡겠다고 약속했다.","","","rectify the situation","상황을 바로잡다",3,
offset,상쇄하다,v,"The bonus helped offset the lower base salary.","그 보너스는 낮은 기본급을 상쇄하는 데 도움이 되었다.","","","offset the cost","비용을 상쇄하다",3,
lure,유혹하다,v,"The shop uses discounts to lure in new customers.","그 상점은 할인으로 신규 고객을 유혹한다.","","","lure customers","고객을 유인하다",3,
secular,세속적인,adj,"The country has a secular government separate from religion.","그 나라는 종교와 분리된 세속 정부를 가지고 있다.","","","secular state","세속 국가",3,
sturdy,견고한,adj,"The table is built from sturdy oak wood.","그 테이블은 견고한 참나무로 만들어졌다.","","","sturdy furniture","견고한 가구",3,
crude,대충 만든/투박한,adj,"He drew a crude map on a napkin.","그는 냅킨에 대충 지도를 그렸다.","","","crude oil","원유",4,
vicious,사나운/잔인한,adj,"The dog gave a vicious growl at the stranger.","그 개는 낯선 사람에게 사납게 으르렁거렸다.","","","vicious cycle","악순환",4,
discretion,신중함/재량권,n,"The manager has full discretion over hiring decisions.","그 관리자는 채용 결정에 대해 전적인 재량권을 가지고 있다.","","","at one's discretion","재량에 따라",4,
astonishing,정말 놀라운,adj,"The magician's trick was truly astonishing.","그 마술사의 마술은 정말 놀라웠다.","","","astonishing result","정말 놀라운 결과",4,
terrain,지형,n,"The truck struggled to cross the rocky terrain.","그 트럭은 바위투성이 지형을 건너느라 애를 먹었다.","","","rugged terrain","험준한 지형",4,
famine,기근,n,"The drought led to a severe famine in the region.","그 가뭄은 그 지역에 심각한 기근을 초래했다.","","","famine relief","기근 구호",4,
domain,영역,n,"Marketing falls outside her usual domain of expertise.","마케팅은 그녀의 평소 전문 영역 밖의 일이다.","","","public domain","공유 저작물(퍼블릭 도메인)",4,
hierarchy,계급,n,"The company has a strict management hierarchy.","그 회사는 엄격한 관리 계급 체계를 가지고 있다.","","","corporate hierarchy","기업 계급구조",4,
scarcity,부족,n,"Water scarcity is a growing problem in the area.","물 부족은 그 지역에서 점점 커지는 문제다.","","","water scarcity","물 부족",4,
comprise,구성하다,v,"The committee comprises five elected members.","그 위원회는 선출된 다섯 명의 구성원으로 이루어져 있다.","","","comprise several parts","여러 부분으로 구성되다",4,
alter,바꾸다,v,"A single decision altered the course of her career.","단 한 번의 결정이 그녀의 경력 방향을 바꾸어 놓았다.","","","alter a document","문서를 바꾸다(변조하다)",4,
inclusion,포함,n,"The report calls for greater inclusion of minority voices.","그 보고서는 소수자의 목소리를 더 많이 포함할 것을 요구한다.","","","diversity and inclusion","다양성과 포용성",4,
hinder,방해하다,v,"Heavy traffic hindered the ambulance's progress.","극심한 교통 체증이 구급차의 이동을 방해했다.","","","hinder progress","진전을 방해하다",4,
turmoil,소란/혼란,n,"The country was thrown into political turmoil.","그 나라는 정치적 혼란에 빠졌다.","","","political turmoil","정치적 혼란",4,
synthetic,합성한,adj,"The jacket is made from a synthetic fabric, not real fur.","그 재킷은 진짜 모피가 아니라 합성 섬유로 만들어졌다.","","","synthetic fiber","합성 섬유",4,
accommodation,숙소,n,"The tour price includes flights and accommodation.","그 투어 요금에는 항공편과 숙소가 포함되어 있다.","","","book accommodation","숙소를 예약하다",4,
precipitation,강수량,n,"The region gets very little precipitation each year.","그 지역은 매년 강수량이 매우 적다.","","","heavy precipitation","많은 강수량",4,
erosion,부식/침식,n,"Coastal erosion has washed away much of the beach.","해안 침식으로 해변의 상당 부분이 사라졌다.","","","soil erosion","토양 침식",4,
refined,세련된,adj,"She has refined taste in art and music.","그녀는 예술과 음악에 세련된 취향을 가지고 있다.","","","refined sugar","정제 설탕",4,
